timestamp,C,P,netDelta
2020-09-10 14:00:00,277052.00850000005,-543842.1880999986,-266790.1795999986
2020-09-10 14:05:00,302681.2523999999,-514631.5942,-211950.3418000001
2020-09-10 14:10:00,289084.82770000084,-545012.9992000002,-255928.17149999933
2020-09-10 14:15:00,274007.59210000053,-583488.0693999996,-309480.477299999
2020-09-10 14:20:00,256906.67589999962,-645780.7948000012,-388874.1189000016
2020-09-10 14:25:00,238920.34919999985,-718513.6363000015,-479593.2871000018
2020-09-10 14:30:00,216364.3092000004,-823621.0483999982,-607256.739199998
2020-09-10 14:35:00,246924.1936000005,-805449.4847999975,-558525.2911999971
2020-09-10 14:40:00,271036.1848000011,-786340.4973999992,-515304.31259999814
2020-09-10 14:45:00,245474.87359999976,-874196.7311999996,-628721.8575999998
2020-09-10 14:50:00,291297.5636999993,-808838.9979000002,-517541.43420000095
2020-09-10 14:55:00,279172.19600000087,-854346.0722999987,-575173.8762999978
2020-09-10 15:00:00,315055.81050000037,-799070.6501000002,-484014.8395999997
2020-09-10 15:05:00,288097.11609999987,-869395.873799999,-581298.757699999
2020-09-10 15:10:00,277064.70909999986,-941557.1514999984,-664492.4423999984
2020-09-10 15:15:00,281137.3522999999,-956317.1829000005,-675179.8306000005
2020-09-10 15:20:00,263006.7085999993,-1037475.2078000009,-774468.4992000018
2020-09-10 15:25:00,268788.1735,-1054370.8316000002,-785582.6581000001
2020-09-10 15:30:00,299063.07609999925,-1019118.3265000016,-720055.2504000023
2020-09-10 15:35:00,318987.7232000006,-1000910.0608,-681922.3375999993
2020-09-10 15:40:00,327310.89640000084,-1010528.6134000012,-683217.7170000004
2020-09-10 15:45:00,365575.2347,-966358.6885999987,-600783.4538999988
2020-09-10 15:50:00,320678.8528000007,-1084064.8337999985,-763385.9809999978
2020-09-10 15:55:00,358546.7181000011,-1034654.9896000016,-676108.2715000005
2020-09-10 16:00:00,331780.04490000074,-1109093.4502000005,-777313.4052999999
2020-09-10 16:05:00,332200.3027000007,-1120496.4371999977,-788296.134499997
2020-09-10 16:10:00,343418.4854999994,-1103790.238000003,-760371.7525000031
2020-09-10 16:15:00,346054.38369999995,-1107184.563300003,-761130.1796000034
2020-09-11 09:35:00,12725.890799999985,-18848.009999999973,-6122.119199999986
2020-09-11 09:40:00,27373.728099999957,-42946.2128,-15572.484700000048
2020-09-11 09:45:00,37084.145100000045,-59546.9255,-22462.780399999952
2020-09-11 09:50:00,55158.33610000004,-71508.10639999983,-16349.770299999778
2020-09-11 09:55:00,62211.75210000008,-85544.8451000003,-23333.09300000022
2020-09-11 10:00:00,60951.376099999856,-135537.73229999986,-74586.35620000001
2020-09-11 10:05:00,77355.17429999997,-145894.93160000013,-68539.75730000014
2020-09-11 10:10:00,84818.13169999981,-161177.6683000002,-76359.5366000004
2020-09-11 10:15:00,97936.5548999998,-172381.10499999995,-74444.55010000014
2020-09-11 10:20:00,116363.76730000007,-168506.38359999936,-52142.61629999932
2020-09-11 10:25:00,129721.76840000006,-169548.53860000015,-39826.7702000001
2020-09-11 10:30:00,132040.86059999993,-187721.37630000038,-55680.51570000048
2020-09-11 10:35:00,127997.21200000012,-211892.71690000012,-83895.50489999997
2020-09-11 10:40:00,137622.31009999962,-214430.63870000024,-76808.32860000062
2020-09-11 10:45:00,160682.83039999995,-193634.50050000017,-32951.67010000022
2020-09-11 10:50:00,181345.0973,-192380.7453000003,-11035.648000000338
2020-09-11 10:55:00,188713.86099999954,-207212.5640000002,-18498.70300000065
2020-09-11 11:00:00,176371.60789999954,-235521.15139999986,-59149.54350000028
2020-09-11 11:05:00,210177.95079999985,-208106.00479999988,2071.945999999938
2020-09-11 11:10:00,228534.45579999997,-203743.4059,24791.049899999955
2020-09-11 11:15:00,222424.1259,-218586.80200000017,3837.323899999814
2020-09-11 11:20:00,227836.4394999997,-221699.13370000015,6137.305799999536
2020-09-11 11:25:00,205542.0117999999,-267406.12780000025,-61864.11600000036
2020-09-11 11:30:00,207090.80780000007,-282409.90769999963,-75319.0998999995
2020-09-11 11:35:00,200663.2599999997,-319548.7096000001,-118885.44960000036
2020-09-11 11:40:00,213228.7799,-311054.8218999998,-97826.0419999998
2020-09-11 11:45:00,214197.61579999913,-316073.2198999999,-101875.60410000078
2020-09-11 11:50:00,219691.48419999945,-317108.9218000014,-97417.43760000195
2020-09-11 11:55:00,214287.45430000004,-331415.2760999999,-117127.82179999985
2020-09-11 12:00:00,209069.9528999998,-346528.7745000001,-137458.82160000034
2020-09-11 12:05:00,233866.78299999985,-323127.97270000057,-89261.18970000074
2020-09-11 12:10:00,237945.3482999994,-322432.50829999853,-84487.15999999907
2020-09-11 12:15:00,232558.5719999993,-333841.9675999993,-101283.3956
2020-09-11 12:20:00,243341.31129999968,-325742.0608999997,-82400.74959999995
2020-09-11 12:25:00,261421.10749999995,-321122.2572999987,-59701.14979999879
2020-09-11 12:30:00,244621.93799999953,-347916.5768000001,-103294.63880000057
2020-09-11 12:35:00,218491.82599999968,-414051.1341000005,-195559.30810000078
2020-09-11 12:40:00,218055.90759999992,-435205.92440000037,-217150.01680000048
2020-09-11 12:45:00,210722.8613999995,-482083.0384000006,-271360.17700000113
2020-09-11 12:50:00,230903.87680000003,-471180.9193999998,-240277.0425999998
2020-09-11 12:55:00,238933.59339999978,-467736.6708000007,-228803.0774000009
2020-09-11 13:00:00,210748.58939999968,-559873.4887999991,-349124.8993999994
2020-09-11 13:05:00,216577.19629999928,-574266.5132000006,-357689.3169000013
2020-09-11 13:10:00,214285.6221999997,-640692.7393000034,-426407.1171000037
2020-09-11 13:15:00,211811.32489999992,-687216.2209000002,-475404.8960000003
2020-09-11 13:20:00,226524.74550000022,-703311.4364000022,-476786.690900002
2020-09-11 13:25:00,224241.1777000002,-736264.8705999991,-512023.6928999989
2020-09-11 13:30:00,217485.9432999999,-794864.097799998,-577378.1544999981
2020-09-11 13:35:00,215209.504,-851952.8777000002,-636743.3737000001
2020-09-11 13:40:00,239612.2927,-811938.6906000002,-572326.3979000001
2020-09-11 13:45:00,254661.8649000004,-809369.1461000008,-554707.2812000004
2020-09-11 13:50:00,266037.38249999983,-804915.3103999981,-538877.9278999984
2020-09-11 13:55:00,268025.6734999996,-820170.8249000006,-552145.151400001
2020-09-11 14:00:00,246465.9795999993,-924861.5559000015,-678395.5763000024
2020-09-11 14:05:00,264774.3115,-897416.6417000003,-632642.3302000002
2020-09-11 14:10:00,319409.9926000004,-831909.1551999993,-512499.16259999893
2020-09-11 14:15:00,349278.5681999997,-784806.9998000021,-435528.4316000023
2020-09-11 14:20:00,333778.2457999993,-829475.6001000012,-495697.35430000204
2020-09-11 14:25:00,352554.8068000003,-814072.2385999982,-461517.4317999978
2020-09-11 14:30:00,329588.0186999998,-878866.9913000022,-549278.9726000024
2020-09-11 14:35:00,377111.521100001,-788746.7717000014,-411635.2506000004
2020-09-11 14:40:00,436138.3172000001,-699117.0012000012,-262978.6840000011
2020-09-11 14:45:00,455216.05999999936,-700261.227600001,-245045.16760000162
2020-09-11 14:50:00,423895.1073000004,-773432.3776000032,-349537.2703000028
2020-09-11 14:55:00,478383.07579999923,-699035.148900001,-220652.07310000175
2020-09-11 15:00:00,441645.3324000016,-779380.2142000006,-337734.88179999904
2020-09-11 15:05:00,418090.99009999976,-850475.3037000006,-432384.3136000009
2020-09-11 15:10:00,382254.7894999994,-933888.8921999985,-551634.102699999
2020-09-11 15:15:00,413810.1673999996,-891816.1042,-478005.9368000003
2020-09-11 15:20:00,491886.29639999993,-780319.7513000008,-288433.4549000009
2020-09-11 15:25:00,555293.6113000006,-702992.2657000001,-147698.65439999953
2020-09-11 15:30:00,602851.7278000007,-665620.2493000004,-62768.521499999675
2020-09-11 15:35:00,649024.2843999985,-638611.2043000002,10413.080099998277
2020-09-11 15:40:00,580629.0246999997,-752951.9175000002,-172322.8928000005
2020-09-11 15:45:00,592075.3150999985,-747956.0293999985,-155880.7143
2020-09-11 15:50:00,601705.8866,-746498.5532000016,-144792.6666000015
2020-09-11 15:55:00,558945.1688999987,-813489.8518000011,-254544.6829000025
2020-09-11 16:00:00,571267.2349000014,-803457.0036999999,-232189.76879999836
2020-09-11 16:05:00,522246.25830000045,-906652.3636000005,-384406.10529999976
2020-09-11 16:10:00,526302.7220000004,-901197.9039999994,-374895.1819999989
2020-09-11 16:15:00,522781.278800001,-912205.1754,-389423.89659999905
2020-09-14 09:35:00,17176.797399999978,-12446.025700000017,4730.771699999963
2020-09-14 09:40:00,29016.480999999985,-25844.94910000003,3171.5318999999618
2020-09-14 09:45:00,46815.250099999874,-39596.62209999991,7218.627999999952
2020-09-14 09:50:00,65459.82199999999,-48135.9709,17323.85109999998
2020-09-14 09:55:00,70168.37339999991,-55724.93249999997,14443.44089999992
2020-09-14 10:00:00,81796.23630000009,-60581.9988,21214.237500000105
2020-09-14 10:05:00,100286.4779000002,-65606.97269999997,34679.50520000022
2020-09-14 10:10:00,115876.0149999999,-70782.38949999992,45093.62549999997
2020-09-14 10:15:00,119824.52449999977,-78727.7378,41096.78669999978
2020-09-14 10:20:00,144644.52889999966,-81761.23930000006,62883.28959999962
2020-09-14 10:25:00,153698.63480000026,-87611.41209999983,66087.22270000043
2020-09-14 10:30:00,164568.1309999998,-92124.86259999976,72443.26840000003
2020-09-14 10:35:00,164320.19499999975,-107758.85079999993,56561.344199999825
2020-09-14 10:40:00,165066.84709999998,-115858.32949999961,49208.51760000037
2020-09-14 10:45:00,173959.9653000001,-117669.40819999985,56290.55710000023
2020-09-14 10:50:00,176748.48870000022,-121786.0673999999,54962.42130000035
2020-09-14 10:55:00,180269.38860000027,-125483.93379999949,54785.45480000076
2020-09-14 11:00:00,183832.47300000011,-130937.08899999985,52895.384000000304
2020-09-14 11:05:00,192219.7367999997,-131154.07509999993,61065.661699999735
2020-09-14 11:10:00,193328.55149999945,-135334.96129999973,57993.590199999686
2020-09-14 11:15:00,188874.10429999983,-150476.69990000024,38397.40439999962
2020-09-14 11:20:00,195858.77189999988,-150815.8277999997,45042.9441000002
2020-09-14 11:25:00,213534.2875999999,-147109.70100000006,66424.5865999998
2020-09-14 11:30:00,224747.32430000007,-147473.25219999987,77274.0721000002
2020-09-14 11:35:00,234970.96159999966,-149351.30080000008,85619.66079999955
2020-09-14 11:40:00,246031.12019999948,-145861.78149999992,100169.33869999961
2020-09-14 11:45:00,256463.09100000013,-147487.55720000027,108975.53379999984
2020-09-14 11:50:00,238852.65150000024,-164942.64909999992,73910.00240000032
2020-09-14 11:55:00,247418.89929999987,-162781.87379999974,84637.02550000012
2020-09-14 12:00:00,248249.51449999947,-164513.54409999974,83735.97039999967
2020-09-14 12:05:00,260397.15950000013,-161127.03689999974,99270.12260000037
2020-09-14 12:10:00,263754.50039999944,-162975.81370000014,100778.68669999926
2020-09-14 12:15:00,250504.9853999999,-175001.00160000022,75503.9837999997
2020-09-14 12:20:00,255070.09639999943,-177630.34860000032,77439.74779999911
2020-09-14 12:25:00,254168.4061999995,-187561.94809999934,66606.45810000016
2020-09-14 12:30:00,262102.09479999976,-185825.5169999997,76276.57780000006
2020-09-14 12:35:00,256021.74980000022,-197932.6220999999,58089.12770000036
2020-09-14 12:40:00,259555.6572999995,-199950.8814999997,59604.77579999981
2020-09-14 12:45:00,271041.801899999,-195270.56669999997,75771.23519999904
2020-09-14 12:50:00,262046.36609999964,-206614.2834000004,55432.082699999264
2020-09-14 12:55:00,262746.18689999986,-216443.89820000023,46302.2886999996
2020-09-14 13:00:00,278035.73649999994,-209294.26519999976,68741.47130000018
2020-09-14 13:05:00,273978.41699999955,-216831.2959000001,57147.121099999415
2020-09-14 13:10:00,258553.09599999976,-248781.36400000023,9771.731999999494
2020-09-14 13:15:00,265562.92909999966,-252108.4456000005,13454.483499999244
2020-09-14 13:20:00,242626.5996000001,-295207.76819999906,-52581.168599998964
2020-09-14 13:25:00,250091.8000999993,-301340.06729999924,-51248.26719999992
2020-09-14 13:30:00,266273.37509999995,-290190.10849999986,-23916.733399999972
2020-09-14 13:35:00,255578.5688,-325695.80379999947,-70117.23499999946
2020-09-14 13:40:00,260987.78049999996,-326636.10300000076,-65648.32250000088
2020-09-14 13:45:00,256552.6105000004,-337113.31329999893,-80560.70279999857
2020-09-14 13:50:00,285399.9039000003,-315544.53400000033,-30144.63009999995
