entry_nope,exit_nope,stop_loss_nope,success_rate,total_trades,total_PNL,mean_of_returns,standard_deviation,average_hold_time,median_hold_time
-75,-55,-100,0.429149798,247,-2.3113,-0.00935749,1.090415174,23.80566802,15
-75,-50,-100,0.407563025,238,-1.378,-0.005789916,1.169299587,26.68067227,17.5
-75,-45,-100,0.384279476,229,-2.998,-0.013091703,1.218077744,29.80349345,20
-75,-40,-100,0.381578947,228,7.126,0.031254386,1.291106272,31.71052632,20
-75,-35,-100,0.364864865,222,2.738,0.012333333,1.308971378,34.63963964,20
-75,-30,-100,0.342465753,219,2.714,0.012392694,1.371836645,37.05479452,20
-75,-25,-100,0.333333333,216,-1.195,-0.005532407,1.351789167,42.06018519,20
-75,-20,-100,0.331775701,214,3.513,0.016415888,1.422594146,45.70093458,20
-75,-15,-100,0.319248826,213,-4.656,-0.021859155,1.501379196,49.64788732,20
-75,-10,-100,0.320754717,212,-1.599,-0.007542453,1.526487898,52.38207547,22.5
-75,-5,-100,0.320754717,212,0.9317,0.004394811,1.548602825,54.19811321,25
-75,0,-100,0.30952381,210,3.405,0.016214286,1.6044418,57.5952381,25
-80,-70,-100,0.49034749,259,-1.1563,-0.004464479,0.866523215,14.74903475,10
-80,-65,-100,0.448979592,245,-6.4823,-0.026458367,0.890630781,17.12244898,10
-80,-60,-100,0.41991342,231,-0.1713,-0.000741558,0.98070591,20.60606061,15
-80,-55,-100,0.402654867,226,3.7247,0.016480973,1.043270459,22.80973451,15
-80,-50,-100,0.383561644,219,5.398,0.024648402,1.111393501,25.47945205,15
-80,-45,-100,0.369158879,214,7.365,0.034415888,1.170898596,28.03738318,20
-80,-40,-100,0.366197183,213,15.796,0.074159624,1.262243489,29.83568075,20
-80,-35,-100,0.346153846,208,10.748,0.051673077,1.281142805,32.69230769,20
-80,-30,-100,0.333333333,207,12.42,0.06,1.355360508,34.63768116,20
-80,-25,-100,0.330097087,206,14.908,0.072368932,1.37784994,37.01456311,20
-80,-20,-100,0.328431373,204,19.161,0.093926471,1.466546397,40.68627451,20
-80,-15,-100,0.315270936,203,9.742,0.047990148,1.539652336,44.60591133,20
-80,-10,-100,0.316831683,202,12.724,0.062990099,1.56627754,47.52475248,20
-80,-5,-100,0.316831683,202,15.2547,0.075518317,1.58893353,49.43069307,20
-80,0,-100,0.305,200,17.125,0.085625,1.642187766,52.675,20
-85,-75,-100,0.491071429,224,-1.082,-0.004830357,0.783363781,12.45535714,10
-85,-70,-100,0.433333333,210,-5.2723,-0.02510619,0.880823841,15.14285714,10
-85,-65,-100,0.408866995,203,-4.1213,-0.02030197,0.929805461,17.06896552,10
-85,-60,-100,0.37628866,194,-1.2223,-0.006300515,1.004901552,20.23195876,15
-85,-55,-100,0.364583333,192,3.9767,0.020711979,1.073391607,22.16145833,15
-85,-50,-100,0.357894737,190,5.743,0.030226316,1.112887534,24.21052632,15
-85,-45,-100,0.347593583,187,5.16,0.027593583,1.147964976,26.25668449,15
